,index,node,assets
0,1,VFTNX,32.11374518
1,2,JMUEX,38.66989268
2,3,VTCIX,34.61655631
3,4,VPMCX,67.13982821
4,5,FALCX,61.80931455
5,6,USSPX,25.95349002
6,7,JENSX,25.62170723
7,8,HGIYX,28.88193462
8,9,SNXFX,30.82148676
9,10,FXAIX,110.638449
10,11,VITPX,49.56583283
11,12,VINIX,103.9197612
12,13,FLCPX,33.21887658
13,14,WFSPX,47.27439403
14,15,SWPPX,63.41799818
15,16,DFUSX,28.14738934
16,17,FSKAX,66.00915864
17,18,TIEIX,48.80226999
18,19,NOSIX,28.59095764
19,20,SWTSX,35.28591703
20,21,VTSMX,102.5181865
21,22,VFINX,100.7295042
22,23,PRBLX,46.08526834
23,24,PREIX,48.47753917
